,source,summary_question,summary_correct_response,summary_incorrect_response,recall_question,recall_correct_response,recall_incorrect_response,inference_question,inference_correct_response,inference_incorrect_response
0,"By the end of this section, you will be able to:
  
  - Discuss how productivity influences the standard of living - Explain the limitations
  of GDP as a measure of the standard of living - Analyze the relationship between
  GDP data and fluctuations in the standard of living

The level of GDP per capita clearly captures some of what we mean by the phrase “standard of living.” Most of the migration in the world, for example, involves people who are moving from countries with relatively low GDP per capita to countries with relatively high GDP per capita.
“Standard of living” is a broader term than GDP, though. While GDP focuses on production that is bought and sold in markets, standard of living includes all elements that affect people’s well-being, whether they are bought and sold in the market or not. To illuminate the difference between GDP and standard of living, it is useful to spell out some things that GDP does not cover that are clearly relevant to the standard of living.",What are some things that GDP does not cover that are relevant to the standard of living?,One thing that GDP does not cover that is relevant to the standard of living is the environment.,"GDP only measures the total value of goods and services produced within a country's borders, but it doesn't take into account other factors such as environmental degradation, social inequality, or cultural diversity that affect people's well-being.",What are some things that GDP does not cover that are relevant to the standard of living?,One thing that GDP does not cover that is relevant to the standard of living is the environment.,"GDP only measures the total value of goods and services produced within a country's borders, but it doesn't take into account other factors such as environmental degradation, social inequality, or cultural diversity that affect people's well-being.",What are some things that GDP does not cover that are relevant to the standard of living?,One thing that GDP does not cover that is relevant to the standard of living is the environment.,"GDP only measures the total value of goods and services produced within a country's borders, but it doesn't take into account other factors such as environmental degradation, social inequality, or cultural diversity that affect people's well-being."
1,"The World Trade Organization (WTO) was officially born in 1995, but its history is much longer. In the years after the Great Depression and World War II, there was a worldwide push to build institutions that would tie the nations of the world together. The United Nations officially came into existence in 1945. The World Bank, which assists the poorest people in the world, and the International Monetary Fund, which addresses issues raised by international financial transactions, were both created in 1946. 
The third planned organization was to be an International Trade Organization, which would manage international trade. The United Nations was unable to agree to this. Instead, 27 nations signed the General Agreement on Tariffs and Trade (GATT) in Geneva, Switzerland on October 30, 1947 to provide a forum in which nations could come together to negotiate reductions in tariffs and other barriers to trade. In 1995, the GATT transformed into the WTO.
The GATT process was to negotiate an agreement to reduce barriers to trade, sign that agreement, pause for a while, and then start negotiating the next agreement. Table 22.4 shows rounds of talks in the GATT, and now the WTO. Notice that the early rounds of GATT talks took a relatively short time, included a small number of countries, and focused almost entirely on reducing tariffs. Since the mid-1960s, however, rounds of trade talks have taken years, included a large number of countries, and have included an ever-broadening range of issues.
Table 22.4 The Negotiating Rounds of GATT and the World Trade Organization
The sluggish pace of GATT negotiations led to an old joke that GATT really stood for Gentleman’s Agreement to Talk and Talk. The slow pace of international trade talks, however, is understandable, even sensible. Having dozens of nations agree to any treaty is a lengthy process. GATT often set up separate trading rules for certain industries, like agriculture, and separate trading rules for certain countries, like low-income countries. There were rules, exceptions to rules, opportunities to opt out of rules, and precise wording to be fought over in every case.
Like the GATT before it, the WTO is not a world government with power to impose its decisions on others. The total staff  of the WTO in 2014 was 640 people and its annual budget was $197 million, which makes it smaller in size than many large universities.




 
    Visit this website for a list of some benefits of trade.",What are some of the organizations that were created in the years after World War II to address issues related to international trade?,One of the organizations that was created in the years after World War II to address issues related to international trade is the General Agreement on Tariffs and Trade (GATT).,"There are many organizations that were created in the years after World War II to address issues related to international trade. Some examples include the International Monetary Fund (IMF), the World Bank, and the World Trade Organization (WTO). These organizations work together to promote economic growth and stability through international trade and finance.",What are some benefits of trade?,"One benefit of trade is that it allows countries to specialize in the production of goods and services they can produce most efficiently, leading to increased productivity and lower costs. This results in higher living standards for consumers.",Trade can benefit both countries involved by increasing economic growth and reducing unemployment.,What are some potential benefits of international trade?,"International trade can bring about several potential benefits such as increased economic growth, specialization and division of labor, and improved standard of living.",International trade can benefit countries by increasing economic growth and reducing unemployment.
2,"The national saving and investment identity provides a useful way to understand the determinants of the trade and current account balance. In a nation's financial capital market, the quantity of financial capital supplied at any given time must equal the quantity of financial capital demanded for purposes of making investments. What is on the supply and demand sides of financial capital? See the following Clear It Up feature for the answer to this question.",What are the two factors that influence the supply and demand for financial capital in a nation's financial capital market?,"One factor that influences the supply of financial capital in a nation's financial capital market is the interest rate set by the central bank. Higher interest rates make it more attractive for savers to save money, increasing the supply of financial capital. Another factor that influences the supply of financial capital is the level of economic activity in the country. If the economy is growing rapidly, businesses may need more financing to expand their operations, increasing the demand for financial capital.","One factor that influences the supply of financial capital in a nation's financial capital market is the interest rate set by the central bank. Another factor is the level of economic activity in the country, which affects the demand for financial capital.",What are the two components that make up the supply side of financial capital?,The two components that make up the supply side of financial capital are savings and investment.,"The correct answer is that the supply side of financial capital consists of savings and investment. However, the response contains a conceptual misunderstanding because it suggests that savings and investment are separate components when they are actually two sides of the same coin.",What are the main factors that influence the supply and demand for financial capital in a country?,"A recessionary gap can occur when the aggregate expenditure line intersects the 45-degree line at a point below the potential GDP, causing the level of aggregate expenditure to be too low for real GDP to reach its full employment level, resulting in unemployment.",A decline in consumption by households would cause a recessionary gap because it shifts the aggregate expenditure line down.
3,Use the consumption function to find consumption at each level of national income.,What is the consumption function and how does it relate to changes in national income?,The consumption function shows how changes in national income affect the demand for goods and services by households. It relates changes in national income to changes in the quantity of goods and services demanded by households.,"The consumption function is a mathematical relationship that shows how changes in disposable income affect consumption spending. If the consumption function is C = c + d, then an increase in disposable income leads to an increase in consumption spending. However, if the aggregate expenditure line shifts down due to a decrease in consumption, investment, or government spending, then the equilibrium level of real GDP will be lower than potential GDP, resulting in a recessionary gap and high unemployment.",What is the consumption function?,The consumption function is the relationship between the amount of consumption and the income received by households.,The consumption function is what causes unemployment when the aggregate expenditure line is too low for real GDP to reach its full employment level.,What does the consumption function tell us about how changes in national income affect consumer spending?,A change in national income will affect consumer spending by shifting the consumption function up or down.,Consumption is likely to decrease when national income decreases because people have less money to spend on goods and services.
4,"A final approach to exchange rate policy is for a nation to choose a common currency shared with one or more nations is also called a merged currency. A merged currency approach eliminates foreign exchange risk altogether. Just as no one worries about exchange rate movements when buying and selling between New York and California, Europeans know that the value of the euro will be the same in Germany and France and other European nations that have adopted the euro.
However, a merged currency also poses problems. Like a hard peg, a merged currency means that a nation has given up altogether on domestic monetary policy, and instead has put its interest rate policies in other hands. When Ecuador uses the U.S. dollar as its currency, it has no voice in whether the Federal Reserve raises or lowers interest rates. The European Central Bank that determines monetary policy for the euro has representatives from all the euro nations. However, from the standpoint of, say, Portugal, there will be times when the decisions of the European Central Bank about monetary policy do not match the decisions that a Portuguese central bank would have made.
These four different exchange rate policies can often blend together. For example, a soft peg exchange rate policy in which the government almost never acts to intervene in the exchange rate market will look a great deal like a floating exchange rate. Conversely, a soft peg policy in which the government intervenes often to keep the exchange rate near a specific level will look a lot like a hard peg. A decision to merge currencies with another country is, in effect, a decision to have a permanently fixed exchange rate with those countries, which is like a very hard exchange rate peg. Table 17.2 summarizes the range of exchange rates policy choices, with their advantages and disadvantages.
Table 17.2 Tradeoffs of Exchange Rate Policies
Global macroeconomics would be easier if the whole world had one currency and one central bank. The exchange rates between different currencies complicate the picture. If financial markets solely set exchange rates, they fluctuate substantially as short-term portfolio investors try to anticipate tomorrow's news. If the government attempts to intervene in exchange rate markets through soft pegs or hard pegs, it gives up at least some of the power to use monetary policy to focus on domestic inflations and recessions, and it risks causing even greater fluctuations in foreign exchange markets.
There is no consensus among economists about which exchange rate policies are best: floating, soft peg, hard peg, or merged currencies. The choice depends both on how well a nation’s central bank can implement a specific exchange rate policy and on how well a nation’s firms and banks can adapt to different exchange rate policies.  
A national economy that does a fairly good job at achieving the four main economic goals of growth, low inflation, low unemployment, and a sustainable balance of trade will probably do just fine most of the time with any exchange rate policy. Conversely, no exchange rate policy is likely to save an economy that consistently fails at achieving these goals. Finally, a merged currency applied across wide geographic and cultural areas carries its own set of problems, such as the ability for countries to conduct their own independent monetary policies.",What is a merged currency?,A merged currency is a type of currency that is used by two or more countries.,A merged currency is when two different countries come together and combine their currencies into one.,What is a merged currency?,A merged currency is a type of currency that is used by two or more countries.,A merged currency is when two different countries come together and combine their currencies into one.,What are the potential benefits and drawbacks of having a merged currency?,"Having a merged currency can have both potential benefits and drawbacks. One potential benefit is that it simplifies international trade by eliminating the need to exchange multiple currencies. Additionally, a merged currency can help stabilize exchange rates and make them more predictable. However, there are also potential drawbacks to consider. For example, a merged currency could lead to a loss of monetary policy autonomy, as the central bank would no longer be able to set interest rates independently. It could also result in inflation being less responsive to changes in demand pressures.","Having a merged currency would allow countries to have a single currency instead of multiple currencies, making transactions easier and more efficient. However, if one country experiences inflation, it could lead to deflation in other countries, causing economic problems. Additionally, a merged currency would give less control over monetary policy to individual countries, potentially leading to instability in the economy."
5,"In this chapter, you will learn about:

Government Spending
Taxation
Federal Deficits and the National Debt
Using Fiscal Policy to Fight Recessions, Unemployment, and Inflation
Automatic Stabilizers
Practical Problems with Discretionary Fiscal Policy
The Question of a Balanced Budget",What are some of the topics covered in Chapter 12 of a macroeconomics textbook?,"Chapter 12 of a macroeconomics textbook covers topics such as the business cycle, economic growth, and inflation.",A recessionary gap can cause unemployment because the level of aggregate expenditure is too low for GDP to reach its full employment level.,What are some practical problems with discretionary fiscal policy?,"One practical problem with discretionary fiscal policy is that it can be difficult to predict the effects of changes in government spending and taxation on economic activity. Additionally, the political process involved in deciding how much to spend and tax can lead to delays and uncertainty in implementing policy changes.","Discretionary fiscal policy can be difficult to implement because it requires the government to make decisions about how much to spend and how much to tax in order to achieve its desired economic goals. This can be challenging because the government does not have perfect information about the economy and must make predictions about future economic conditions. Additionally, political considerations can also play a role in the decision-making process, leading to delays or changes in the planned policies.",What are some practical problems with discretionary fiscal policy?,"One practical problem with discretionary fiscal policy is that it can be difficult to predict the effects of changes in government spending and taxation on economic activity. Additionally, the political process involved in deciding how much to spend and tax can lead to delays and uncertainty in implementing policy changes.","Discretionary fiscal policy can be difficult to implement because it requires the government to make decisions about how much to spend and how much to tax in order to achieve its desired economic goals. This can be challenging because the government does not have perfect information about the economy and must make predictions about future economic conditions. Additionally, political considerations can also play a role in the decision-making process, leading to delays or changes in the planned policies."
6,"The graph on the left lists events that could lead to increased demand. The graph on the right lists events that could lead to decreased demand.
Figure 3.9 Factors That Shift Demand Curves
(a) A list of factors that can cause an increase in demand from D0 to D1.
(b) The same factors, if their direction is reversed, can cause a decrease in demand from D0 to D1.
Figure 3.9 summarizes six factors that can shift demand curves. The direction of the arrows indicates whether the demand curve shifts represent an increase in demand or a decrease in demand. Notice that a change in the price of the good or service itself is not listed among the factors that can shift a demand curve. A change in the price of a good or service causes a movement along a specific demand curve, and it typically leads to some change in the quantity demanded, but it does not shift the demand curve.
When a demand curve shifts, it will then intersect with a given supply curve at a different equilibrium price and quantity. We are, however, getting ahead of our story. Before discussing how changes in demand can affect equilibrium price and quantity, we first need to discuss shifts in supply curves.",What are six factors that can shift demand curves?,"Six factors that can shift demand curves include changes in consumer preferences, changes in income levels, changes in prices of related goods, changes in population size, changes in expectations about future events, and changes in the availability of substitutes.",I am not sure what factors can shift demand curves because the passage only mentions two factors: changes in consumer preferences and changes in income.,What are six factors that can shift demand curves?,"Six factors that can shift demand curves include changes in consumer preferences, changes in income levels, changes in prices of related goods, changes in population size, changes in expectations about future events, and changes in the availability of substitutes.",I am not sure what factors can shift demand curves because the passage only mentions two factors: changes in consumer preferences and changes in income.,What is the main idea of the passage?,"The main idea of the passage is that a recessionary gap occurs when the aggregate expenditure line intersects the 45-degree line at a level of real GDP below the potential GDP, resulting in unemployment.","The main idea of the passage is that a recessionary gap can occur when the aggregate expenditure line intersects the 45-degree line at a point below the potential GDP, resulting in unemployment."
7,"Macroeconomics takes an overall view of the economy, which means that it needs to juggle many different concepts, including:
The three macroeconomic goals of growth, low inflation, and low unemployment
The four elements of aggregate demand: consumption, investment, government spending, and net exports
Aggregate supply reveals how businesses throughout the economy will react to a higher price level for outputs
Economic events and policy decisions that can affect aggregate demand and aggregate supply, including government tax and spending decisions; consumer and business confidence; changes in prices of key inputs like oil; and technology that brings higher levels of productivity.","What are the three macroeconomic goals of growth, low inflation, and low unemployment?","The three macroeconomic goals of growth, low inflation, and low unemployment are known as the ""triple convergence"" or the ""Great Moderation.""","A recessionary gap can occur when the aggregate expenditure line shifts down due to a decrease in consumption, rise in savings, fall in investment, drop in government spending or a rise in taxes, or a fall in exports or a rise in imports.",What are the three macroeconomic goals?,"The three macroeconomic goals are maximum employment, stable prices, and sustainable economic growth.","A recessionary gap can occur when the aggregate expenditure line is too low for real GDP to reach its full employment level, causing unemployment to occur. This happens when there is a decrease in consumption, an increase in savings, a decrease in investment, a decrease in government spending, or an increase in taxes, or a decrease in exports and an increase in imports. To fix a recessionary gap, the government should reduce taxes or increase spending to shift the aggregate expenditure function upward.",What are some examples of economic events and policy decisions that can affect aggregate demand and aggregate supply?,"Aggregate demand refers to the total demand for goods and services in an economy, while aggregate supply refers to the total amount of goods and services produced by all the firms in an economy. Some examples of economic events and policy decisions that can affect aggregate demand and aggregate supply include changes in consumer confidence, changes in interest rates, changes in government spending, changes in taxes, changes in exchange rates, and changes in trade policies. For example, if consumers become more confident and start spending more money, it will lead to an increase in aggregate demand, which will result in higher inflation. On the other hand, if interest rates are raised, it will decrease borrowing and spending, leading to a decrease in aggregate demand and potentially a recession. Similarly, if government spending increases, it will lead to an increase in aggregate demand, while an increase in taxes will decrease aggregate demand. Changes in exchange rates and trade policies can also affect aggregate demand and supply, as they can change the price of imported goods and services, which can affect domestic production and consumption.","Aggregate demand can be affected by changes in consumer confidence, changes in interest rates, changes in exchange rates, and changes in government spending or taxes. Aggregate supply can be affected by changes in technology, changes in energy prices, changes in labor productivity, and changes in government policies such as regulations on businesses."
8,"If you were born within the last three decades in the United States, Canada, or many other countries in the developed world, you probably have no real experience with a high rate of inflation. Inflation is when most prices in an entire economy are rising. However, there is an extreme form of inflation called hyperinflation. This occurred in Germany between 1921 and 1928, and more recently in Zimbabwe between 2008 and 2009. In November 2008, Zimbabwe had an inflation rate of 79.6 billion percent. In contrast, in 2014, the United States had an average annual rate of inflation of 1.6%.
Zimbabwe's inflation rate was so high it is difficult to comprehend, so let's put it into context. It is equivalent to price increases of 98% per day. This means that, from one day to the next, prices essentially double. What is life like in an economy afflicted with hyperinflation? Most of you reading this will have never experienced this phenomenon. The government adjusted prices for commodities in Zimbabwean dollars several times each day. There was no desire to hold on to currency since it lost value by the minute. The people there spent a great deal of time getting rid of any cash they acquired by purchasing whatever food or other commodities they could find. At one point, a loaf of bread cost 550 million Zimbabwean dollars. Teachers' salaries were in the trillions a month; however, this was equivalent to only one U.S. dollar a day. At its height, it took 621,984,228 Zimbabwean dollars to purchase one U.S. dollar.
Government agencies had no money to pay their workers so they started printing money to pay their bills rather than raising taxes. Rising prices caused the government to enact price controls on private businesses, which led to shortages and the emergence of black markets. In 2009, the country abandoned its currency and allowed people to use foreign currencies for purchases.



How does this happen? How can both government and the economy fail to function
at the most basic level? Before we consider these extreme cases of hyperinflation,
let's first look at inflation itself.",What is hyperinflation and how does it occur?,"Hyperinflation is a very high rate of inflation, typically over 50% per month, and it can occur when a country experiences a large increase in aggregate demand relative to its production capacity, leading to a decrease in the value of its currency. This can happen due to factors such as war, political instability, or a sudden increase in oil prices, among others. Hyperinflation can also result from monetary policy mistakes by central banks, such as printing excessive amounts of money or raising interest rates too quickly.","Hyperinflation is when the price level rises rapidly and continuously, causing a loss of value in money. This happens because the central bank increases the money supply too much, leading to a decrease in the purchasing power of money.",What is hyperinflation?,"Hyperinflation is a very high rate of inflation, typically over 50% per month, that causes a loss of confidence in a country's currency and leads to a decrease in the demand for it.","Hyperinflation is when the aggregate expenditure line is really far above the 45 degree line, causing a huge amount of unemployment.",What are some factors that contribute to hyperinflation?,"A hyperinflation occurs when the aggregate demand for goods and services in an economy exceeds the supply, leading to a rapid increase in prices and a decrease in the purchasing power of money. Some factors that can contribute to hyperinflation include a decline in the value of a country's currency, a large budget deficit, a high rate of inflation, a decline in productivity, and a lack of monetary control by the central bank.","Hyperinflation is caused by an increase in aggregate demand, which causes the price level to rise rapidly. This can happen if there is an increase in government spending, a decrease in interest rates, or an increase in money supply. Additionally, an economy that is already at equilibrium with hyperinflation may just stay there and suffer high inflation for a long time; remember, the meaning of equilibrium is that there is no adjustment of prices or quantities in the economy to chase the hyperinflation away."
9,"The pie chart shows that, in 2017, 94.366 million people were out of the labor force, 152.081 million people were employed, and 7.635 million people were unemployed
Figure 7.1 Employed, Unemployed, and Out of the Labor Force Distribution of Adult Population (age 16 and older), January 2017
Figure 7.1 shows the three-way division of the 16-and-over population.
The total adult, working-age population in January 2017 was 254.1 million.
Out of this total population, 152.1 million were classified as employed, and 7.6 million were classified as unemployed. The remaining 94.4 million were classified as out of the labor force.
As you will learn, however, this seemingly simple chart does not tell the whole story.
About 62.9% of the adult population was ""in the labor force""; that is, people are either employed or without a job but looking for work. We can divide those in the labor force into the employed and the unemployed. Table 7.1 shows those values.
The unemployment rate is not the percentage of the total adult population without jobs, but rather the percentage of adults who are in the labor force but who do not have jobs:



Unemployed rate = (Unemployed People / Labor Force) x 100


In this example, we can calculate the unemployment rate as 7.635 million unemployed people divided by 159.716 million people in the labor force, which works out to a 4.8% rate of unemployment. The following Work It Out feature will walk you through the steps of this calculation.
Table 7.1 U.S. Employment and Unemployment, January 2017 (Source: https://data.bls.gov)",What is the main point of Figure 7.1?,"The main point of Figure 9.17 (a) is that a recessionary gap exists when the aggregate expenditure line intersects the 45-degree line at point E0, which is a real GDP of $6,000, below the potential GDP of $7,000.","The main point of Figure 7.1 is that if the aggregate expenditure line intersects the 45-degree line at point E0, which is a real GDP of $6,000, below the potential GDP of $7,000, then the level of aggregate expenditure is too low for GDP to reach its full employment level, and unemployment will occur.",What is the total adult population in January 2017?,The total adult population in January 2017 was not provided in the given passage.,The total adult population in January 2017 was not provided in the given information.,What is the relationship between the number of people who are out of the labor force and the unemployment rate?,"A rise in the number of people who are out of the labor force and the unemployment rate would indicate a decrease in aggregate demand, leading to a recessionary gap and potentially high unemployment.",The number of people who are out of the labor force and the unemployment rate have nothing to do with each other.
10,missing fliping card,What are some factors that can affect the demand for goods and services?,"A recessionary gap occurs when the aggregate expenditure line intersects the 45-degree line at a level of real GDP below the potential GDP, causing unemployment to occur. This happens when the level of aggregate expenditure is too low for GDP to reach its full employment level. Factors such as a decline in consumption, a rise in savings, a fall in investment, a drop in government spending or a rise in taxes, or a fall in exports or a rise in imports can all shift the aggregate expenditure line down and cause a recessionary gap.","A decline in consumer spending would cause a recessionary gap because it would shift the aggregate expenditure curve downward, leading to lower levels of real GDP than the potential GDP.",What is the difference between a recession and a depression?,"A recession is a period of economic downturn characterized by a decrease in aggregate demand, while a depression is a severe economic downturn with a prolonged period of high unemployment and widespread poverty.","A recession is when the aggregate expenditure line is too low for real GDP to reach its full employment level, causing unemployment. On the other hand, a depression is when the aggregate expenditure line is even lower than during a recession, resulting in extremely high levels of unemployment and economic downturn.","Based on the information provided, what is likely to happen to the economy if the government increases taxes?","If the government increases taxes, it would shift the aggregate expenditure line down, causing a recessionary gap. This would lead to high unemployment as firms would not wish to hire the full employment number of workers due to the lower level of real GDP. To fix this problem, the government should reduce taxes or increase spending to shift the aggregate expenditure function back up to the original level, allowing the economy to return to potential GDP and full employment.","Increasing taxes would shift the aggregate expenditure line down, causing a recessionary gap and potentially leading to high unemployment."
